Stadtteil;Anzahl der Einwohner:innen;Anzahl der Kinder und Jugendlichen unter 18 Jahren;Anzahl älterer Einwohner:innen über 64 Jahren;Anzahl ausländischer Einwohner:innen;Anzahl der Einwohner:innen mit Migrations-hintergrund;Anzahl der Haushalte;Durchschnittliche Anzahl der Personen je Haushalt;Anzahl der Haushalte mit Kindern;Sozial-versicherungs-pflichtig Beschäftigte am Wohnort;Anteil sozial-versicherungs-pflichtig Beschäftigter am Wohnort an den Erwerbsfähigen (15 bis unter 65-Jährige);Anzahl der Arbeitslosen;Anteil der Arbeitslosen an den Erwerbsfähigen (15 bis unter 65-Jährige);Ältere Arbeitslose im Alter von 55 bis unter 65 Jahren;Anteil älterer Arbeitsloser (55 bis unter 65-Jährige) an den älteren Erwerbsfähigen (55 bis unter 65-Jährige);Anzahl der Leistungs-empfänger:innen nach SGB II;Anteil der Leistungs-empfänger:innen nach SGB II an der Gesamt-bevölkerung;;
Hamburg-Altstadt; 2 358    ;  297    ;  257    ;  519    ; 1 046    ; 1 507    ; 1,6    ;  192    ; 1 240    ; 67,6    ;  98    ; 5,3    ;  14    ; 5,7    ;  193    ; 8,2    ;;
HafenCity; 6 302    ; 1 187    ;  598    ;  884    ; 2 429    ; 2 892    ; 2,2    ;  755    ; 2 811    ; 61,1    ;  144    ; 3,1    ;  14    ; 2,7    ;  309    ; 4,9    ;;
Neustadt; 12 611    ; 1 414    ; 1 894    ; 2 477    ; 4 602    ; 8 620    ; 1,5    ;  968    ; 6 079    ; 64,0    ;  494    ; 5,2    ;  104    ; 6,5    ;  911    ; 7,2    ;;
St. Pauli; 21 803    ; 2 849    ; 2 245    ; 4 535    ; 8 045    ; 14 593    ; 1,5    ; 1 856    ; 9 772    ; 57,0    ; 1 330    ; 7,8    ;  282    ; 10,7    ; 2 708    ; 12,4    ;;
St. Georg; 11 467    ; 1 189    ; 1 602    ; 2 689    ; 4 570    ; 7 353    ; 1,5    ;  758    ; 5 303    ; 60,1    ;  489    ; 5,5    ;  103    ; 7,0    ;  841    ; 7,3    ;;
Hammerbrook; 5 259    ;  674    ;  172    ; 1 789    ; 2 968    ; 2 663    ; 1,7    ;  340    ; 2 735    ; 61,2    ;  277    ; 6,2    ;  31    ; 11,6    ;  668    ; 12,7    ;;
Borgfelde; 8 276    ; 1 058    ;  888    ; 2 961    ; 4 254    ; 4 310    ; 1,5    ;  431    ; 3 815    ; 59,0    ;  416    ; 6,4    ;  64    ; 8,7    ; 1 282    ; 15,5    ;;
Hamm; 38 044    ; 4 473    ; 5 104    ; 7 212    ; 14 374    ; 25 757    ; 1,5    ; 2 923    ; 19 867    ; 68,4    ; 1 541    ; 5,3    ;  284    ; 6,7    ; 3 562    ; 9,4    ;;
Horn; 37 627    ; 5 993    ; 5 652    ; 10 366    ; 20 566    ; 22 200    ; 1,7    ; 3 593    ; 16 262    ; 60,4    ; 1 977    ; 7,3    ;  364    ; 8,1    ; 5 814    ; 15,5    ;;
Billstedt; 70 790    ; 13 932    ; 12 955    ; 19 613    ; 43 289    ; 34 924    ; 2,0    ; 7 642    ; 26 605    ; 57,5    ; 3 895    ; 8,4    ;  658    ; 7,1    ; 13 529    ; 19,1    ;;
Billbrook; 1 664    ;  545    ;  88    ; 1 262    ; 1 416    ;  347    ; 1,5    ;  31    ;  623    ; 56,2    ;  195    ; 17,6    ;  23    ; 18,3    ;  880    ; 52,9    ;;
Rothenburgsort; 8 945    ; 1 563    ; 1 331    ; 2 576    ; 5 181    ; 5 048    ; 1,8    ;  896    ; 3 780    ; 60,1    ;  539    ; 8,6    ;  92    ; 8,3    ; 1 517    ; 17,0    ;;
Veddel; 4 263    ;  847    ;  401    ; 1 981    ; 3 228    ; 2 276    ; 1,9    ;  481    ; 1 800    ; 56,7    ;  333    ; 10,5    ;  30    ; 8,3    ; 1 021    ; 24,0    ;;
