how to ;Bevölkerung;Unter 18-Jährige;Anteil der unter 18-Jährigen in %; 65-Jährige und Ältere;Anteil der 65-Jährigen und Älteren in %;Ausländer:innen;Bevölkerung mit Migrations-hintergrund;Haushalte;Personen je Haushalt;Haushalte mit Kindern;Anteil der Haushalte mit Kindern in %;Fläche in km²;Bevölkerungs-dichte;Sozial-versicherungs-pflichtig Beschäftigte (Dez 2021);Beschäftigten-quote in % (Dez 2021);Arbeitslose (Dez 2021);Arbeitslosenanteil in % (Dez 2021);Jüngere Arbeitslose (Dez 2021);Arbeitslosenanteil Jüngerer in % (Dez 2021);Ältere Arbeitslose (Dez 2021);Arbeitslosenanteil Älterer in % (Dez 2021);Leistungs-empfänger:innen nach SGB II (Dez 2021);Anteil der Leistungs-empfänger:innen nach SGB II in % (Dez 2021);Sozialwohnungen (Jan 2022);Sozialwohnungs-anteil in % (Jan 2022)
Hamburg-Altstadt;2.358.00;297;12.6;257;10.9;519;1.046.00;1.507.00;1.6;192;12.7;1.3;1.813.00;1.240.00;67.6;98;5.3;.    ;.    ;14;5.7;193;8.2;176;12.4
HafenCity;6.302.00;1.187.00;18.8;598;9.5;884;2.429.00;2.892.00;2.2;755;26.1;2.4;2.598.00;2.811.00;61.1;144;3.1;.    ;.    ;14;2.7;309;4.9;799;24.9
Neustadt;12.611.00;1.414.00;11.2;1.894.00;15;2.477.00;4.602.00;8.620.00;1.5;968;11.2;2.3;5.575.00;6.079.00;64;494;5.2;28;2.9;104;6.5;911;7.2;967;12.6
St. Pauli;21.803.00;2.849.00;13.1;2.245.00;10.3;4.535.00;8.045.00;14.593.00;1.5;1.856.00;12.7;2.2;9.723.00;9.772.00;57;1.330.00;7.8;65;3.4;282;10.7;2.708.00;12.4;1.485.00;11.7
St. Georg;11.467.00;1.189.00;10.4;1.602.00;14;2.689.00;4.570.00;7.353.00;1.5;758;10.3;1.8;6.291.00;5.303.00;60.1;489;5.5;33;2.8;103;7;841;7.3;852;13.2
Hammerbrook;5.259.00;674;12.8;172;3.3;1.789.00;2.968.00;2.663.00;1.7;340;12.8;2.5;2.107.00;2.735.00;61.2;277;6.2;26;3.2;31;11.6;668;12.7;669;25.3
Borgfelde;8.276.00;1.058.00;12.8;888;10.7;2.961.00;4.254.00;4.310.00;1.5;431;10;0.8;10.070.00;3.815.00;59;416;6.4;44;3.4;64;8.7;1.282.00;15.5;279;6.3
Hamm;38.044.00;4.473.00;11.8;5.104.00;13.4;7.212.00;14.374.00;25.757.00;1.5;2.923.00;11.3;3.9;9.783.00;19.867.00;68.4;1.541.00;5.3;124;3.2;284;6.7;3.562.00;9.4;1.435.00;6.1
Horn;37.627.00;5.993.00;15.9;5.652.00;15;10.366.00;20.566.00;22.200.00;1.7;3.593.00;16.2;5.9;6.380.00;16.262.00;60.4;1.977.00;7.3;141;2.9;364;8.1;5.814.00;15.5;2.190.00;11.2
Billstedt;70.790.00;13.932.00;19.7;12.955.00;18.3;19.613.00;43.289.00;34.924.00;2;7.642.00;21.9;16.9;4.183.00;26.605.00;57.5;3.895.00;8.4;372;4.4;658;7.1;13.529.00;19.1;5.282.00;16.4
