,stadtteil,green_area_total_ha,green_area_mean_ha,green_space_count,stadtteil_,inhabitants,z_area_per_inhbt,z_perc_green_area,z_area_per_inhbt_percentile,status
0,Allermöhe,41.4007,3.4500583333333332,7,Allermöhe,1441.0,-0.605054799817573,0.30034726512395704,0,very low
1,Alsterdorf,13.628599999999999,0.5925478260869564,6,Alsterdorf,14975.0,-0.17531788757840092,0.5408067267413226,3,high
2,Altengamme,0.213,0.213,0,Altengamme,2319.0,3.7782050974531267,0.8705623627238567,4,very high
3,Altona-Altstadt,28.3002,0.49649473684210527,37,Altona-Altstadt,29151.0,-0.203077015522522,-2.7506603703792307,3,high
4,Altona-Nord,8.0044,0.47084705882352945,1,Altona-Nord,25942.0,0.6898924667600024,5.351962265288915,4,very high
5,Bahrenfeld,195.1327,3.0973444444444445,36,Bahrenfeld,29435.0,-0.5581870582195912,-0.29309172617138096,0,very low
6,Barmbek-Nord,24.9692,0.43050344827586207,21,Barmbek-Nord,41964.0,0.05968273646102375,0.24131514683010244,4,very high
7,Barmbek-Süd,30.796,0.6284897959183673,12,Barmbek-Süd,35709.0,-0.1507848150505978,-0.5420168602891006,3,high
8,Bergedorf,55.3476,0.5765375,29,Bergedorf,36178.0,-0.3551075850661359,0.05342562551245024,2,medium
9,Bergedorf,55.3476,0.5765375,29,Bergedorf,130711.0,0.33473716469878645,0.05342562551245024,4,very high
10,Bergstedt,22.605800000000002,0.9828608695652175,8,Bergstedt,10738.0,-0.4272590580666353,-1.6218554734684998,1,low
11,Billstedt,195.3491,1.641589075630252,60,Billstedt,70790.0,-0.4727511606667156,0.08391004359061084,1,low
12,Billwerder,8.6537,0.8653700000000001,3,Billwerder,3184.0,-0.470506236766572,1.991291875950046,1,low
13,Blankenese,97.5193,2.321888095238095,20,Blankenese,13656.0,-0.5625540527462547,-0.459774519351883,0,very low
14,Borgfelde,6.046,0.6046,4,Borgfelde,8276.0,-0.06624783554105049,-0.010519158521221967,3,high
15,Bramfeld,61.0736,0.8601915492957747,19,Bramfeld,52573.0,-0.27143578707101035,-0.7054912504702627,2,medium
16,Cranz,0.585,0.585,0,Cranz,840.0,-0.03916333867648388,0.24146024713288997,3,high
17,Curslack,6.093000000000001,1.2186000000000001,2,Curslack,4034.0,-0.35170660754351285,-1.4251528207983057,2,medium
18,Dulsberg,13.4829,0.84268125,8,Dulsberg,16839.0,-0.11468418528728437,0.26277809496011795,3,high
19,Duvenstedt,6.4487,0.5373916666666666,0,Duvenstedt,6010.0,-0.24269596842373475,0.20857345298128627,2,medium
20,Eidelstedt,18.0839,0.4410707317073171,19,Eidelstedt,35686.0,0.1779132208504019,-0.44486017986874715,4,very high
21,Eilbek,13.4262,0.6102818181818181,8,Eilbek,22235.0,0.049771110144000374,-0.10189541799725156,4,very high
